ADM3_PCODE,ADM3_EN,admin3AltName1_en,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
ET070201,Misha,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,98996.00,48341.00,50655.00,15363.00,16393.00,14969.00,7679.00,2877.00,6546.00,7299.00,5863.00,5736.00,3981.00,3235.00,2533.00,2145.00,1769.00,2609.00,7716.00,8233.00,7575.00,3883.00,1455.00,2943.00,3144.00,2607.00,2793.00,2007.00,1461.00,1006.00,1121.00,929.00,1467.00,7647.00,8159.00,7395.00,3796.00,1422.00,3603.00,4154.00,3255.00,2944.00,1974.00,1773.00,1527.00,1024.00,839.00,1142.00
ET070202,Gombora,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,117100.00,58384.00,58716.00,18187.00,19406.00,17719.00,9085.00,3403.00,7725.00,8610.00,6925.00,6784.00,4712.00,3823.00,2988.00,2541.00,2096.00,3095.00,9316.00,9941.00,9146.00,4692.00,1757.00,3556.00,3801.00,3151.00,3373.00,2423.00,1764.00,1215.00,1353.00,1123.00,1771.00,8870.00,9466.00,8573.00,4394.00,1646.00,4169.00,4809.00,3775.00,3411.00,2289.00,2058.00,1772.00,1188.00,974.00,1324.00
ET070203,Lemmo,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,171025.00,84937.00,86087.00,27014.00,28825.00,26132.00,12978.00,4861.00,10821.00,12069.00,9992.00,9804.00,6929.00,5627.00,4442.00,3800.00,3133.00,4596.00,13772.00,14695.00,13517.00,6729.00,2520.00,4982.00,5221.00,4434.00,4856.00,3548.00,2549.00,1766.00,2026.00,1674.00,2650.00,13243.00,14130.00,12615.00,6250.00,2340.00,5840.00,6848.00,5558.00,4949.00,3381.00,3078.00,2676.00,1774.00,1460.00,1946.00
ET070204,Shashogo,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,143090.00,72729.00,70361.00,21835.00,23299.00,21434.00,11362.00,4256.00,9834.00,10952.00,8564.00,8381.00,5720.00,4629.00,3573.00,3030.00,2500.00,3721.00,11407.00,12172.00,11201.00,5932.00,2223.00,4603.00,5016.00,4062.00,4248.00,2998.00,2215.00,1515.00,1634.00,1361.00,2140.00,10427.00,11127.00,10233.00,5431.00,2034.00,5230.00,5936.00,4502.00,4133.00,2721.00,2414.00,2057.00,1396.00,1139.00,1581.00
ET070205,Misrak Badawacho,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,148827.00,74124.00,74703.00,23758.00,25351.00,22879.00,11133.00,4170.00,9159.00,10223.00,8629.00,8475.00,6056.00,4921.00,3907.00,3355.00,2767.00,4042.00,12131.00,12944.00,11905.00,5822.00,2181.00,4249.00,4397.00,3792.00,4211.00,3108.00,2215.00,1540.00,1798.00,1481.00,2350.00,11628.00,12407.00,10973.00,5312.00,1990.00,4910.00,5826.00,4837.00,4264.00,2948.00,2706.00,2368.00,1557.00,1286.00,1693.00
ET070206,Soro,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,163020.00,81614.00,81406.00,24722.00,26379.00,24347.00,13040.00,4885.00,11370.00,12645.00,9787.00,9581.00,6498.00,5257.00,4049.00,3424.00,2823.00,4213.00,12756.00,13611.00,12526.00,6677.00,2501.00,5205.00,5692.00,4588.00,4778.00,3360.00,2489.00,1702.00,1822.00,1519.00,2387.00,11966.00,12768.00,11820.00,6363.00,2384.00,6165.00,6952.00,5198.00,4804.00,3138.00,2768.00,2347.00,1602.00,1304.00,1826.00
ET070207,Duna,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,159897.00,79856.00,80041.00,24817.00,26481.00,24200.00,12425.00,4654.00,10571.00,11765.00,9445.00,9267.00,6433.00,5211.00,4069.00,3469.00,2860.00,4230.00,12753.00,13608.00,12520.00,6412.00,2402.00,4855.00,5185.00,4303.00,4611.00,3316.00,2413.00,1662.00,1854.00,1538.00,2426.00,12064.00,12872.00,11680.00,6013.00,2252.00,5717.00,6579.00,5142.00,4656.00,3117.00,2798.00,2406.00,1616.00,1324.00,1804.00
ET070208,Analemmo,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,83435.00,41056.00,42379.00,13052.00,13926.00,12680.00,6411.00,2401.00,5412.00,6030.00,4907.00,4811.00,3366.00,2733.00,2148.00,1829.00,1508.00,2220.00,6605.00,7048.00,6484.00,3275.00,1227.00,2454.00,2597.00,2178.00,2359.00,1709.00,1237.00,854.00,966.00,799.00,1264.00,6447.00,6878.00,6196.00,3135.00,1174.00,2959.00,3434.00,2728.00,2452.00,1656.00,1497.00,1294.00,864.00,709.00,956.00
ET070209,Mirab Badowach,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,111672.00,54820.00,56851.00,17547.00,18723.00,17014.00,8529.00,3195.00,7164.00,7984.00,6548.00,6422.00,4514.00,3666.00,2889.00,2463.00,2031.00,2984.00,8857.00,9451.00,8694.00,4357.00,1632.00,3243.00,3414.00,2883.00,3141.00,2287.00,1648.00,1140.00,1300.00,1074.00,1700.00,8690.00,9272.00,8320.00,4173.00,1563.00,3921.00,4570.00,3665.00,3281.00,2227.00,2018.00,1749.00,1164.00,956.00,1284.00
ET070210,Gibe,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,134277.00,67527.00,66750.00,21441.00,22878.00,20651.00,10050.00,3765.00,8258.00,9211.00,7777.00,7646.00,5466.00,4436.00,3518.00,3029.00,2498.00,3653.00,11051.00,11792.00,10846.00,5304.00,1987.00,3871.00,4006.00,3455.00,3837.00,2832.00,2018.00,1403.00,1638.00,1349.00,2141.00,10390.00,11086.00,9805.00,4746.00,1778.00,4387.00,5206.00,4322.00,3810.00,2634.00,2418.00,2116.00,1392.00,1149.00,1512.00
ET070211,Hosaena town,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,139289.00,68011.00,71278.00,15667.00,16717.00,17871.00,14683.00,5500.00,15357.00,16833.00,9712.00,9429.00,4976.00,3916.00,2493.00,1879.00,1543.00,2712.00,8235.00,8787.00,8117.00,6627.00,2483.00,6440.00,8141.00,5473.00,4544.00,2552.00,2274.00,1441.00,886.00,822.00,1189.00,7432.00,7930.00,9755.00,8056.00,3018.00,8916.00,8692.00,4239.00,4885.00,2423.00,1642.00,1052.00,993.00,721.00,1522.00
ET070212,Shone Town,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,31074.00,15558.00,15516.00,3502.00,3736.00,3980.00,3270.00,1225.00,3414.00,3754.00,2175.00,2103.00,1111.00,878.00,559.00,419.00,345.00,603.00,1884.00,2010.00,1857.00,1516.00,568.00,1473.00,1862.00,1252.00,1039.00,584.00,520.00,330.00,203.00,188.00,272.00,1618.00,1726.00,2123.00,1754.00,657.00,1941.00,1892.00,923.00,1063.00,528.00,357.00,229.00,216.00,157.00,331.00
ET070213,Gimbichu town,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,27377.00,13706.00,13671.00,4152.00,4430.00,4089.00,2190.00,820.00,1910.00,2124.00,1644.00,1609.00,1091.00,883.00,680.00,575.00,474.00,708.00,2143.00,2286.00,2104.00,1122.00,420.00,874.00,956.00,771.00,802.00,564.00,418.00,286.00,306.00,256.00,400.00,2009.00,2144.00,1985.00,1069.00,401.00,1035.00,1167.00,873.00,807.00,527.00,465.00,394.00,269.00,219.00,307.00
ET070214,Jajura town,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,27277.00,13656.00,13621.00,4137.00,4414.00,4074.00,2182.00,817.00,1903.00,2116.00,1638.00,1603.00,1087.00,880.00,677.00,573.00,472.00,705.00,2135.00,2278.00,2096.00,1117.00,418.00,871.00,952.00,768.00,800.00,563.00,417.00,285.00,305.00,254.00,399.00,2002.00,2137.00,1978.00,1065.00,399.00,1031.00,1163.00,870.00,803.00,525.00,463.00,393.00,268.00,218.00,306.00
ET070215,Ameka,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,79597.00,38868.00,40729.00,12352.00,13180.00,12036.00,6174.00,2313.00,5264.00,5868.00,4714.00,4612.00,3201.00,2601.00,2037.00,1725.00,1422.00,2098.00,6204.00,6620.00,6091.00,3123.00,1170.00,2366.00,2529.00,2097.00,2246.00,1614.00,1174.00,809.00,901.00,748.00,1180.00,6149.00,6561.00,5946.00,3052.00,1143.00,2897.00,3339.00,2617.00,2367.00,1587.00,1427.00,1228.00,824.00,675.00,918.00
ET070216,Siraro Badawacho,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,56255.00,28018.00,28237.00,8980.00,9582.00,8648.00,4208.00,1576.00,3462.00,3864.00,3262.00,3203.00,2289.00,1860.00,1477.00,1268.00,1046.00,1528.00,4585.00,4893.00,4500.00,2201.00,824.00,1606.00,1662.00,1433.00,1592.00,1175.00,837.00,582.00,680.00,560.00,888.00,4395.00,4690.00,4148.00,2008.00,752.00,1856.00,2202.00,1828.00,1612.00,1114.00,1023.00,895.00,589.00,486.00,640.00
ET070217,Mirab Soro,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,51577.00,25821.00,25756.00,7822.00,8346.00,7703.00,4126.00,1545.00,3597.00,4001.00,3097.00,3031.00,2056.00,1663.00,1281.00,1083.00,893.00,1333.00,4036.00,4306.00,3963.00,2113.00,791.00,1647.00,1801.00,1452.00,1512.00,1063.00,787.00,539.00,576.00,481.00,755.00,3786.00,4039.00,3739.00,2014.00,754.00,1950.00,2200.00,1644.00,1520.00,993.00,876.00,743.00,507.00,413.00,578.00
ET070301,Tembaro,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,145088.00,70803.00,74285.00,22195.00,23682.00,21762.00,11461.00,4293.00,9924.00,11055.00,8677.00,8481.00,5800.00,4709.00,3657.00,3081.00,2541.00,3770.00,11154.00,11902.00,10952.00,5753.00,2156.00,4439.00,4815.00,3920.00,4124.00,2924.00,2152.00,1475.00,1603.00,1334.00,2100.00,11041.00,11781.00,10810.00,5708.00,2138.00,5485.00,6239.00,4756.00,4356.00,2876.00,2557.00,2182.00,1479.00,1207.00,1670.00
ET070302,Angacha,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,121402.00,60728.00,60674.00,18528.00,19770.00,18204.00,9639.00,3611.00,8351.00,9280.00,7249.00,7108.00,4851.00,3923.00,3032.00,2574.00,2122.00,3160.00,9557.00,10198.00,9383.00,4939.00,1850.00,3816.00,4144.00,3369.00,3540.00,2507.00,1847.00,1265.00,1373.00,1142.00,1798.00,8971.00,9572.00,8820.00,4700.00,1761.00,4535.00,5137.00,3880.00,3569.00,2344.00,2076.00,1767.00,1201.00,979.00,1363.00
ET070303,Kediada Gambela,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,26829.00,13390.00,13439.00,4152.00,4431.00,4055.00,2093.00,784.00,1786.00,1987.00,1587.00,1558.00,1078.00,873.00,680.00,580.00,478.00,708.00,2134.00,2277.00,2095.00,1077.00,403.00,818.00,876.00,724.00,775.00,555.00,405.00,278.00,309.00,257.00,405.00,2018.00,2154.00,1959.00,1015.00,381.00,969.00,1111.00,862.00,783.00,523.00,468.00,401.00,270.00,222.00,303.00
ET070304,Kacha Bira,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,131650.00,64698.00,66952.00,21009.00,22418.00,20226.00,9842.00,3687.00,8109.00,9059.00,7645.00,7497.00,5355.00,4359.00,3466.00,2965.00,2445.00,3568.00,10588.00,11298.00,10391.00,5081.00,1903.00,3709.00,3838.00,3310.00,3676.00,2713.00,1933.00,1344.00,1569.00,1293.00,2051.00,10421.00,11120.00,9835.00,4761.00,1783.00,4400.00,5222.00,4335.00,3821.00,2642.00,2425.00,2122.00,1396.00,1152.00,1517.00
ET070305,Hadero Tunto,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,108688.00,53584.00,55104.00,17238.00,18394.00,16643.00,8197.00,3071.00,6805.00,7595.00,6335.00,6214.00,4410.00,3586.00,2840.00,2428.00,2002.00,2930.00,8722.00,9307.00,8561.00,4230.00,1584.00,3113.00,3245.00,2774.00,3056.00,2243.00,1605.00,1113.00,1287.00,1062.00,1683.00,8516.00,9087.00,8082.00,3968.00,1486.00,3692.00,4350.00,3562.00,3158.00,2168.00,1980.00,1727.00,1141.00,940.00,1247.00
ET070306,Doyogena,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,108863.00,53426.00,55437.00,16531.00,17639.00,16275.00,8688.00,3254.00,7576.00,8420.00,6527.00,6391.00,4340.00,3514.00,2714.00,2291.00,1888.00,2815.00,8375.00,8937.00,8224.00,4359.00,1633.00,3385.00,3691.00,2986.00,3121.00,2202.00,1627.00,1113.00,1199.00,999.00,1571.00,8156.00,8702.00,8051.00,4328.00,1621.00,4191.00,4729.00,3540.00,3270.00,2138.00,1886.00,1601.00,1093.00,888.00,1244.00
ET070307,Damboya,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,115174.00,57922.00,57252.00,17384.00,18550.00,17162.00,9271.00,3473.00,8119.00,9020.00,6929.00,6788.00,4583.00,3702.00,2841.00,2404.00,1982.00,2967.00,9021.00,9626.00,8859.00,4752.00,1781.00,3723.00,4085.00,3279.00,3399.00,2382.00,1769.00,1208.00,1284.00,1072.00,1683.00,8363.00,8923.00,8303.00,4518.00,1693.00,4396.00,4934.00,3651.00,3390.00,2201.00,1933.00,1633.00,1120.00,910.00,1283.00
ET070308,Durame town,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,107399.00,51359.00,56040.00,12062.00,12871.00,13799.00,11338.00,4247.00,11874.00,12982.00,7466.00,7272.00,3833.00,3008.00,1915.00,1450.00,1188.00,2095.00,6219.00,6636.00,6129.00,5005.00,1875.00,4863.00,6147.00,4133.00,3431.00,1927.00,1717.00,1088.00,669.00,620.00,898.00,5843.00,6235.00,7669.00,6334.00,2373.00,7010.00,6834.00,3333.00,3841.00,1905.00,1291.00,827.00,781.00,567.00,1197.00
ET070309,Adilo,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,47676.00,23794.00,23881.00,7379.00,7873.00,7206.00,3719.00,1393.00,3174.00,3530.00,2820.00,2768.00,1916.00,1551.00,1209.00,1031.00,850.00,1258.00,3793.00,4047.00,3724.00,1914.00,717.00,1453.00,1555.00,1287.00,1375.00,987.00,720.00,496.00,550.00,457.00,721.00,3586.00,3827.00,3482.00,1805.00,676.00,1721.00,1975.00,1533.00,1392.00,929.00,832.00,714.00,481.00,393.00,537.00
ET070310,Shinshincho town,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,28428.00,13753.00,14675.00,3195.00,3410.00,3650.00,2999.00,1123.00,3138.00,3436.00,1980.00,1925.00,1015.00,798.00,508.00,384.00,315.00,554.00,1665.00,1777.00,1641.00,1340.00,502.00,1302.00,1646.00,1107.00,919.00,516.00,460.00,291.00,179.00,166.00,241.00,1530.00,1633.00,2008.00,1659.00,621.00,1836.00,1790.00,873.00,1006.00,499.00,338.00,216.00,205.00,149.00,313.00
ET070312,Hadero town,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,35452.00,17107.00,18345.00,3991.00,4258.00,4556.00,3736.00,1400.00,3908.00,4277.00,2466.00,2399.00,1266.00,995.00,634.00,480.00,393.00,692.00,2074.00,2213.00,2044.00,1665.00,624.00,1617.00,2043.00,1375.00,1142.00,642.00,572.00,362.00,224.00,207.00,300.00,1916.00,2045.00,2511.00,2070.00,776.00,2291.00,2235.00,1092.00,1257.00,624.00,424.00,272.00,256.00,186.00,392.00
ET070501,Wenago,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,145836.00,72644.00,73192.00,22316.00,23812.00,21893.00,11535.00,4321.00,9968.00,11088.00,8701.00,8525.00,5833.00,4723.00,3659.00,3102.00,2558.00,3802.00,11453.00,12221.00,11245.00,5899.00,2209.00,4547.00,4927.00,4016.00,4230.00,3001.00,2207.00,1514.00,1647.00,1371.00,2157.00,10864.00,11592.00,10648.00,5636.00,2111.00,5422.00,6161.00,4684.00,4296.00,2832.00,2515.00,2145.00,1454.00,1187.00,1645.00
ET070502,Yirgachefe,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,183279.00,91612.00,91666.00,29261.00,31222.00,28179.00,13713.00,5137.00,11276.00,12583.00,10622.00,10437.00,7459.00,6058.00,4808.00,4133.00,3408.00,4981.00,14993.00,15998.00,14714.00,7195.00,2695.00,5252.00,5434.00,4687.00,5205.00,3842.00,2738.00,1903.00,2222.00,1831.00,2904.00,14268.00,15224.00,13465.00,6518.00,2442.00,6025.00,7149.00,5935.00,5232.00,3618.00,3320.00,2905.00,1911.00,1578.00,2077.00
ET070503,Kochere,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,128866.00,63965.00,64902.00,19622.00,20937.00,19292.00,10254.00,3841.00,8910.00,9907.00,7714.00,7555.00,5144.00,4164.00,3218.00,2722.00,2244.00,3343.00,10043.00,10716.00,9861.00,5213.00,1953.00,4041.00,4398.00,3566.00,3734.00,2638.00,1947.00,1333.00,1439.00,1199.00,1886.00,9579.00,10221.00,9431.00,5041.00,1889.00,4870.00,5509.00,4148.00,3821.00,2506.00,2216.00,1884.00,1283.00,1045.00,1457.00
ET070504,Bule,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,78349.00,39439.00,38910.00,12128.00,12941.00,11844.00,6114.00,2290.00,5214.00,5797.00,4632.00,4549.00,3149.00,2547.00,1984.00,1694.00,1397.00,2070.00,6285.00,6706.00,6170.00,3173.00,1188.00,2409.00,2580.00,2134.00,2280.00,1636.00,1193.00,821.00,912.00,756.00,1194.00,5843.00,6234.00,5674.00,2941.00,1102.00,2804.00,3218.00,2497.00,2269.00,1513.00,1355.00,1163.00,783.00,640.00,876.00
ET070505,Dila Zuria,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,129791.00,65452.00,64339.00,20726.00,22115.00,19963.00,9715.00,3639.00,7981.00,8900.00,7514.00,7391.00,5284.00,4286.00,3399.00,2929.00,2415.00,3533.00,10712.00,11430.00,10512.00,5141.00,1926.00,3752.00,3883.00,3349.00,3719.00,2745.00,1956.00,1360.00,1587.00,1308.00,2075.00,10014.00,10686.00,9451.00,4575.00,1714.00,4229.00,5018.00,4166.00,3672.00,2539.00,2331.00,2039.00,1341.00,1107.00,1458.00
ET070506,Gedeb,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,122493.00,61415.00,61078.00,18847.00,20110.00,18450.00,9628.00,3607.00,8268.00,9194.00,7276.00,7138.00,4911.00,3974.00,3085.00,2626.00,2165.00,3214.00,9732.00,10385.00,9555.00,4965.00,1860.00,3800.00,4095.00,3362.00,3564.00,2542.00,1861.00,1279.00,1406.00,1168.00,1840.00,9114.00,9726.00,8895.00,4662.00,1747.00,4467.00,5098.00,3915.00,3573.00,2368.00,2112.00,1807.00,1220.00,997.00,1374.00
ET070507,Dila town,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,117699.00,59558.00,58141.00,13274.00,14164.00,15065.00,12375.00,4636.00,12913.00,14219.00,8251.00,7964.00,4212.00,3331.00,2120.00,1586.00,1308.00,2283.00,7212.00,7695.00,7108.00,5804.00,2174.00,5640.00,7129.00,4793.00,3979.00,2235.00,1992.00,1262.00,776.00,719.00,1042.00,6062.00,6469.00,7957.00,6571.00,2461.00,7273.00,7090.00,3458.00,3985.00,1977.00,1339.00,858.00,810.00,589.00,1242.00
ET070508,Chelelektu town,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,26939.00,13371.00,13567.00,4102.00,4377.00,4033.00,2144.00,803.00,1863.00,2071.00,1613.00,1579.00,1075.00,870.00,673.00,569.00,469.00,699.00,2099.00,2240.00,2061.00,1090.00,408.00,845.00,919.00,745.00,781.00,551.00,407.00,278.00,301.00,250.00,395.00,2003.00,2137.00,1972.00,1053.00,395.00,1018.00,1151.00,867.00,799.00,523.00,463.00,394.00,269.00,219.00,304.00
ET070509,Rape,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,79141.00,39776.00,39366.00,12272.00,13095.00,11975.00,6160.00,2308.00,5243.00,5832.00,4674.00,4590.00,3183.00,2576.00,2009.00,1716.00,1414.00,2094.00,6348.00,6774.00,6232.00,3196.00,1197.00,2422.00,2589.00,2147.00,2298.00,1652.00,1202.00,827.00,922.00,765.00,1207.00,5924.00,6322.00,5743.00,2965.00,1110.00,2821.00,3243.00,2528.00,2292.00,1532.00,1374.00,1181.00,793.00,650.00,887.00
ET070510,Churso,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,85198.00,42570.00,42628.00,13163.00,14045.00,12861.00,6659.00,2495.00,5695.00,6336.00,5049.00,4952.00,3421.00,2771.00,2157.00,1837.00,1514.00,2243.00,6770.00,7224.00,6646.00,3431.00,1285.00,2613.00,2805.00,2313.00,2465.00,1765.00,1289.00,886.00,980.00,814.00,1284.00,6393.00,6821.00,6215.00,3229.00,1209.00,3081.00,3532.00,2735.00,2487.00,1656.00,1482.00,1272.00,857.00,701.00,960.00
ET070511,Gedeb town,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,31349.00,15718.00,15631.00,4823.00,5147.00,4722.00,2464.00,923.00,2116.00,2353.00,1862.00,1827.00,1257.00,1017.00,790.00,672.00,554.00,823.00,2491.00,2658.00,2446.00,1271.00,476.00,973.00,1048.00,860.00,912.00,651.00,476.00,328.00,360.00,299.00,471.00,2333.00,2489.00,2276.00,1194.00,447.00,1143.00,1305.00,1002.00,915.00,606.00,540.00,463.00,312.00,255.00,352.00
ET070512,Yirgachefe town,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,77725.00,38401.00,39324.00,8750.00,9337.00,9965.00,8186.00,3067.00,8555.00,9392.00,5429.00,5261.00,2778.00,2190.00,1394.00,1048.00,862.00,1512.00,4650.00,4961.00,4583.00,3742.00,1402.00,3636.00,4596.00,3090.00,2565.00,1441.00,1284.00,814.00,500.00,464.00,672.00,4100.00,4375.00,5382.00,4444.00,1665.00,4919.00,4796.00,2339.00,2695.00,1337.00,906.00,580.00,548.00,398.00,840.00
ET070601,Boloso Sore,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,205958.00,100136.00,105823.00,32859.00,35062.00,31628.00,15389.00,5765.00,12695.00,14193.00,11975.00,11729.00,8375.00,6826.00,5434.00,4635.00,3822.00,5572.00,16388.00,17486.00,16083.00,7865.00,2946.00,5740.00,5940.00,5123.00,5689.00,4199.00,2992.00,2080.00,2429.00,2001.00,3174.00,16471.00,17576.00,15545.00,7524.00,2819.00,6955.00,8253.00,6852.00,6040.00,4176.00,3833.00,3354.00,2206.00,1821.00,2398.00
ET070602,Damot Gale,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,140743.00,69067.00,71676.00,22460.00,23965.00,21622.00,10521.00,3941.00,8670.00,9687.00,8174.00,8015.00,5725.00,4660.00,3706.00,3170.00,2614.00,3813.00,11303.00,12061.00,11093.00,5425.00,2032.00,3959.00,4097.00,3533.00,3924.00,2896.00,2064.00,1435.00,1675.00,1380.00,2189.00,11156.00,11904.00,10529.00,5096.00,1909.00,4711.00,5590.00,4641.00,4091.00,2829.00,2596.00,2272.00,1494.00,1234.00,1624.00
ET070603,Damot Woide,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,110615.00,54296.00,56319.00,17058.00,18201.00,16673.00,8656.00,3242.00,7427.00,8270.00,6573.00,6435.00,4437.00,3600.00,2807.00,2377.00,1960.00,2901.00,8621.00,9200.00,8464.00,4382.00,1642.00,3344.00,3596.00,2960.00,3147.00,2249.00,1645.00,1131.00,1247.00,1036.00,1633.00,8437.00,9001.00,8209.00,4274.00,1601.00,4082.00,4674.00,3613.00,3288.00,2187.00,1955.00,1676.00,1129.00,924.00,1268.00
ET070604,Humbo,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,67244.00,33855.00,33389.00,10738.00,11457.00,10342.00,5033.00,1885.00,4135.00,4612.00,3894.00,3829.00,2737.00,2221.00,1761.00,1517.00,1251.00,1830.00,5541.00,5912.00,5438.00,2659.00,996.00,1941.00,2008.00,1732.00,1923.00,1420.00,1012.00,703.00,821.00,676.00,1073.00,5197.00,5545.00,4905.00,2374.00,889.00,2194.00,2604.00,2162.00,1906.00,1318.00,1209.00,1058.00,696.00,575.00,757.00
ET070605,Sodo Zuria,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,126287.00,62393.00,63893.00,20156.00,21507.00,19407.00,9443.00,3537.00,7776.00,8684.00,7329.00,7191.00,5138.00,4179.00,3321.00,2845.00,2347.00,3426.00,10211.00,10895.00,10021.00,4900.00,1836.00,3577.00,3701.00,3192.00,3545.00,2616.00,1864.00,1296.00,1513.00,1247.00,1978.00,9945.00,10612.00,9385.00,4543.00,1702.00,4199.00,4983.00,4137.00,3647.00,2522.00,2314.00,2025.00,1332.00,1100.00,1448.00
ET070606,Kindo Koyesha,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,109837.00,53815.00,56022.00,16887.00,18019.00,16529.00,8627.00,3232.00,7428.00,8268.00,6538.00,6401.00,4400.00,3569.00,2778.00,2351.00,1938.00,2872.00,8525.00,9097.00,8370.00,4351.00,1630.00,3332.00,3592.00,2947.00,3123.00,2228.00,1631.00,1120.00,1231.00,1023.00,1612.00,8361.00,8922.00,8160.00,4275.00,1602.00,4096.00,4676.00,3590.00,3278.00,2173.00,1937.00,1658.00,1120.00,915.00,1260.00
ET070607,Ofa,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,76586.00,37664.00,38922.00,11849.00,12643.00,11564.00,5968.00,2236.00,5102.00,5683.00,4541.00,4446.00,3076.00,2497.00,1950.00,1653.00,1363.00,2015.00,5997.00,6399.00,5887.00,3033.00,1136.00,2306.00,2471.00,2042.00,2179.00,1562.00,1139.00,784.00,869.00,721.00,1138.00,5853.00,6245.00,5677.00,2936.00,1100.00,2796.00,3212.00,2499.00,2268.00,1514.00,1357.00,1166.00,784.00,642.00,877.00
ET070608,Boloso Bombe,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,116803.00,57127.00,59677.00,18501.00,19741.00,17869.00,8820.00,3304.00,7339.00,8194.00,6819.00,6683.00,4736.00,3854.00,3053.00,2604.00,2147.00,3141.00,9290.00,9912.00,9118.00,4513.00,1691.00,3327.00,3473.00,2963.00,3259.00,2389.00,1712.00,1188.00,1370.00,1131.00,1791.00,9211.00,9829.00,8750.00,4306.00,1613.00,4013.00,4721.00,3856.00,3423.00,2347.00,2142.00,1865.00,1234.00,1016.00,1350.00
ET070609,Damot Sore,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,112947.00,55282.00,57664.00,17390.00,18555.00,16999.00,8850.00,3315.00,7609.00,8483.00,6728.00,6577.00,4527.00,3678.00,2867.00,2420.00,1996.00,2953.00,8755.00,9342.00,8596.00,4472.00,1675.00,3426.00,3694.00,3030.00,3209.00,2288.00,1677.00,1152.00,1264.00,1050.00,1655.00,8635.00,9213.00,8404.00,4378.00,1640.00,4183.00,4788.00,3699.00,3367.00,2239.00,2002.00,1716.00,1156.00,945.00,1298.00
