ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
Erer,ET0504,Somali,ET05,Ethiopia,ET,276101.00,146497.00,129603.00,49846.00,53189.00,45784.00,20606.00,7721.00,16901.00,16946.00,14026.00,12057.00,11537.00,7083.00,8067.00,3272.00,3510.00,5557.00,27099.00,28916.00,26381.00,10834.00,4058.00,7703.00,7264.00,7117.00,5958.00,6177.00,3155.00,4181.00,1927.00,2095.00,3629.00,22746.00,24272.00,19402.00,9767.00,3658.00,9199.00,9681.00,6908.00,6098.00,5358.00,3929.00,3888.00,1345.00,1414.00,1928.00
Korahe,ET0505,Somali,ET05,Ethiopia,ET,527389.00,279899.00,247490.00,94218.00,100534.00,86450.00,39972.00,14971.00,33243.00,32646.00,27207.00,23097.00,22095.00,13660.00,15285.00,6327.00,6832.00,10851.00,51311.00,54750.00,49685.00,21049.00,7888.00,15334.00,14133.00,13791.00,11325.00,11906.00,6166.00,7912.00,3716.00,4015.00,6912.00,42907.00,45783.00,36765.00,18917.00,7087.00,17907.00,18511.00,13418.00,11773.00,10186.00,7492.00,7377.00,2608.00,2816.00,3941.00
Shabelle,ET0506,Somali,ET05,Ethiopia,ET,667698.00,354392.00,313309.00,118917.00,126888.00,109079.00,50830.00,19040.00,42440.00,41435.00,34603.00,29267.00,27993.00,17341.00,19305.00,8039.00,8695.00,13827.00,64796.00,69139.00,62644.00,26786.00,10034.00,19637.00,17995.00,17532.00,14320.00,15115.00,7858.00,9990.00,4718.00,5090.00,8743.00,54120.00,57749.00,46436.00,24044.00,9007.00,22804.00,23441.00,17064.00,14948.00,12880.00,9484.00,9318.00,3320.00,3606.00,5083.00
Doolo,ET0507,Somali,ET05,Ethiopia,ET,437226.00,231988.00,205237.00,78936.00,84226.00,72504.00,32632.00,12224.00,26768.00,26834.00,22211.00,19092.00,18268.00,11216.00,12774.00,5182.00,5557.00,8802.00,42914.00,45790.00,41775.00,17161.00,6429.00,12200.00,11503.00,11269.00,9433.00,9784.00,4996.00,6622.00,3052.00,3317.00,5749.00,36023.00,38435.00,30727.00,15472.00,5795.00,14567.00,15331.00,10942.00,9658.00,8487.00,6220.00,6152.00,2132.00,2241.00,3054.00
Afder,ET0508,Somali,ET05,Ethiopia,ET,672361.00,356751.00,315612.00,121385.00,129522.00,111496.00,50181.00,18796.00,41161.00,41265.00,34156.00,29361.00,28093.00,17249.00,19643.00,7969.00,8549.00,13534.00,65992.00,70417.00,64244.00,26389.00,9884.00,18762.00,17691.00,17332.00,14507.00,15042.00,7684.00,10182.00,4693.00,5101.00,8837.00,55394.00,59107.00,47255.00,23790.00,8913.00,22399.00,23578.00,16827.00,14855.00,13050.00,9567.00,9464.00,3276.00,3445.00,4694.00
Liban,ET0509,Somali,ET05,Ethiopia,ET,518873.00,273549.00,245324.00,93581.00,99855.00,85956.00,38763.00,14519.00,31841.00,31888.00,26398.00,22691.00,21669.00,13323.00,15156.00,6152.00,6609.00,10469.00,50610.00,54005.00,49274.00,20228.00,7575.00,14373.00,13559.00,13285.00,11125.00,11533.00,5886.00,7808.00,3596.00,3911.00,6779.00,42970.00,45853.00,36683.00,18534.00,6945.00,17468.00,18329.00,13114.00,11567.00,10137.00,7435.00,7347.00,2552.00,2697.00,3693.00
Nogob,ET0510,Somali,ET05,Ethiopia,ET,223037.00,118341.00,104695.00,40266.00,42967.00,36985.00,16645.00,6235.00,13654.00,13688.00,11330.00,9739.00,9320.00,5722.00,6517.00,2643.00,2835.00,4489.00,21891.00,23358.00,21310.00,8752.00,3279.00,6224.00,5868.00,5750.00,4813.00,4989.00,2549.00,3377.00,1556.00,1693.00,2932.00,18375.00,19607.00,15676.00,7893.00,2955.00,7431.00,7824.00,5577.00,4929.00,4331.00,3172.00,3140.00,1087.00,1144.00,1559.00
Daawa,ET0511,Somali,ET05,Ethiopia,ET,469370.00,249043.00,220327.00,84737.00,90419.00,77834.00,35032.00,13122.00,28735.00,28806.00,23844.00,20496.00,19612.00,12041.00,13714.00,5563.00,5967.00,9449.00,46070.00,49157.00,44845.00,18421.00,6901.00,13096.00,12349.00,12097.00,10128.00,10501.00,5364.00,7108.00,3274.00,3563.00,6170.00,38669.00,41261.00,32986.00,16608.00,6221.00,15638.00,16459.00,11745.00,10369.00,9110.00,6679.00,6607.00,2288.00,2405.00,3279.00
Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,526774.00,264951.00,261821.00,77217.00,82394.00,69191.00,44285.00,16588.00,47666.00,46058.00,31391.00,33300.00,19217.00,16936.00,13767.00,7716.00,9266.00,11780.00,38791.00,41395.00,37249.00,21893.00,8200.00,22125.00,22914.00,15030.00,17344.00,9448.00,7937.00,7776.00,3594.00,4610.00,6647.00,38424.00,41002.00,31942.00,22392.00,8388.00,25541.00,23144.00,16363.00,15954.00,9768.00,8998.00,5993.00,4122.00,4658.00,5133.00
Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,437079.00,223886.00,213192.00,65033.00,69393.00,58026.00,36424.00,13644.00,38081.00,36753.00,25605.00,27661.00,15889.00,14422.00,11733.00,6590.00,7912.00,9916.00,33250.00,35476.00,31904.00,18437.00,6906.00,18046.00,18623.00,12367.00,14676.00,7771.00,6753.00,6817.00,3135.00,4014.00,5714.00,31786.00,33914.00,26123.00,17985.00,6736.00,20035.00,18131.00,13236.00,12984.00,8119.00,7669.00,4917.00,3456.00,3901.00,4199.00
